timestamp,farm_id,revenue,operating_costs,labor_costs,equipment_costs,seed_costs,fertilizer_costs,pesticide_costs,fuel_costs,total_costs,gross_profit,profit_margin,market_demand_index,price_volatility,competitor_count,market_share,customer_satisfaction,brand_value,investment_required,roi_projection,risk_score,latitude,longitude,climate_zone
2025-08-20T22:09:32.468373,farm_0001,7510.79,3086.57,2218.53,1271.67,385.4,546.77,567.58,642.32,8718.84,-1208.05,-16.08,1.057,0.374,14,0.172,4.37,5277.62,40511.79,0.08,0.756,28.90142861281983,-80.5360121163772,tropical
2025-08-21T22:09:32.468373,farm_0001,11853.89,5075.08,3354.52,1601.15,1002.36,853.0,532.04,760.25,13178.39,-1324.5,-11.17,0.987,0.192,7,0.121,3.92,3520.53,7480.33,0.14,0.576,28.90142861281983,-80.5360121163772,tropical
2025-08-22T22:09:32.468373,farm_0001,22312.95,7791.05,5089.34,4080.13,1417.58,1712.08,1291.36,1674.47,23056.01,-743.06,-3.33,1.421,0.291,12,0.184,3.64,9179.85,5979.56,0.23,0.752,28.90142861281983,-80.5360121163772,tropical
2025-08-23T22:09:32.468373,farm_0001,39352.13,12194.19,10285.09,5973.22,5761.16,2596.8,1179.5,3587.84,41577.8,-2225.67,-5.66,0.772,0.384,6,0.051,4.52,9198.58,11011.03,0.06,0.269,28.90142861281983,-80.5360121163772,tropical
2025-08-24T22:09:32.468373,farm_0001,44422.01,21653.42,10797.08,7842.66,6616.51,3460.79,2908.44,2476.02,55754.9,-11332.9,-25.51,1.157,0.124,12,0.208,4.32,5089.81,34911.74,0.15,0.66,28.90142861281983,-80.5360121163772,tropical
2025-08-25T22:09:32.468373,farm_0001,31683.46,10847.54,8060.4,5871.25,4529.6,2518.2,1614.02,1417.85,34858.85,-3175.39,-10.02,1.472,0.125,7,0.13,3.85,9476.72,16390.57,0.25,0.64,28.90142861281983,-80.5360121163772,tropical
2025-08-26T22:09:32.468373,farm_0001,44132.61,16923.0,10623.91,6953.57,6579.79,2853.88,1139.32,4044.31,49117.78,-4985.16,-11.3,0.506,0.196,14,0.255,4.17,5163.45,16371.0,0.14,0.169,28.90142861281983,-80.5360121163772,tropical
2025-08-27T22:09:32.468373,farm_0001,42927.37,13114.77,11331.39,8479.65,6154.51,3214.33,944.6,2095.63,45334.88,-2407.51,-5.61,0.666,0.3,13,0.119,3.65,3028.6,43227.61,0.16,0.363,28.90142861281983,-80.5360121163772,tropical
2025-08-28T22:09:32.468373,farm_0001,23366.59,7940.53,6909.7,3236.83,1956.65,2330.6,1061.33,849.83,24285.48,-918.89,-3.93,0.866,0.117,11,0.106,3.51,9592.34,46067.27,0.24,0.537,28.90142861281983,-80.5360121163772,tropical
2025-08-29T22:09:32.468373,farm_0001,10778.67,3758.91,2343.49,1612.17,821.54,743.93,534.66,905.09,10719.79,58.88,0.55,0.501,0.202,14,0.072,3.97,8905.66,40127.17,0.09,0.416,28.90142861281983,-80.5360121163772,tropical
2025-08-30T22:09:32.468373,farm_0001,15245.41,7039.36,3768.35,2437.79,2034.94,1192.79,1174.93,1080.83,18728.99,-3483.58,-22.85,1.497,0.116,8,0.182,3.09,8315.95,39832.06,0.24,0.448,28.90142861281983,-80.5360121163772,tropical
2025-08-31T22:09:32.468373,farm_0001,24086.22,9394.1,4987.86,2879.23,3122.08,1905.72,1752.58,1053.07,25094.66,-1008.44,-4.19,0.723,0.364,6,0.185,3.39,3420.91,6050.67,0.13,0.271,28.90142861281983,-80.5360121163772,tropical
2025-09-01T22:09:32.468373,farm_0001,11481.06,5150.65,2801.36,2293.59,1183.44,588.0,731.57,477.87,13226.48,-1745.42,-15.2,0.798,0.352,9,0.11,3.72,9329.46,8842.01,0.08,0.668,28.90142861281983,-80.5360121163772,tropical
2025-09-02T22:09:32.468373,farm_0001,17534.86,5983.27,4136.89,2661.32,2455.62,1035.3,661.46,677.12,17610.99,-76.13,-0.43,1.263,0.397,5,0.063,3.41,8778.84,13948.62,0.1,0.25,28.90142861281983,-80.5360121163772,tropical
2025-09-03T22:09:32.468373,farm_0001,3461.32,1061.63,788.94,691.66,412.53,302.87,153.79,230.54,3641.96,-180.64,-5.22,1.424,0.363,12,0.218,4.31,1293.58,25326.56,0.11,0.317,28.90142861281983,-80.5360121163772,tropical
2025-09-04T22:09:32.468373,farm_0001,36689.7,16796.5,7406.99,7019.26,4649.57,3512.68,1312.62,1935.85,42633.47,-5943.76,-16.2,1.493,0.342,8,0.124,4.62,6215.13,6603.46,0.21,0.392,28.90142861281983,-80.5360121163772,tropical
2025-08-06T22:09:32.468373,farm_0002,13084.8,6319.11,3663.16,1312.69,1260.57,1213.11,1005.42,1111.53,15885.59,-2800.79,-21.4,0.609,0.113,6,0.162,4.44,1183.8,8838.29,0.24,0.332,39.31203728088487,-89.53201643899139,continental
2025-08-07T22:09:32.468373,farm_0002,34151.22,14007.59,8920.56,4752.55,4841.22,3142.49,2513.66,1870.64,40048.71,-5897.48,-17.27,1.378,0.258,5,0.14,3.0,9891.51,11619.44,0.21,0.696,39.31203728088487,-89.53201643899139,continental
2025-08-08T22:09:32.468373,farm_0002,28576.2,11524.07,6308.41,3429.67,3408.4,1998.86,983.84,895.23,28548.47,27.72,0.1,1.051,0.16,3,0.071,4.08,2891.87,46389.45,0.21,0.139,39.31203728088487,-89.53201643899139,continental
2025-08-09T22:09:32.468373,farm_0002,4807.36,1462.42,1081.98,821.77,516.67,318.47,96.2,365.94,4663.44,143.92,2.99,1.395,0.256,4,0.238,3.18,8571.35,19146.35,0.21,0.55,39.31203728088487,-89.53201643899139,continental
2025-08-10T22:09:32.468373,farm_0002,23409.61,9955.17,5849.28,4543.25,1429.04,1558.32,837.08,738.33,24910.48,-1500.86,-6.41,0.926,0.19,3,0.238,3.39,6309.19,48059.32,0.21,0.135,39.31203728088487,-89.53201643899139,continental
2025-08-11T22:09:32.468373,farm_0002,16188.69,5811.92,3247.81,2190.03,1341.18,1267.41,669.54,597.35,15125.24,1063.45,6.57,0.763,0.269,14,0.063,3.46,7936.56,34777.91,0.05,0.736,39.31203728088487,-89.53201643899139,continental
2025-08-12T22:09:32.468373,farm_0002,20894.8,10240.43,6062.53,4045.17,1656.29,2066.89,742.1,1480.06,26293.49,-5398.69,-25.84,0.896,0.333,14,0.172,4.79,5671.76,19765.95,0.24,0.498,39.31203728088487,-89.53201643899139,continental
2025-08-13T22:09:32.468373,farm_0002,37732.68,16353.0,10988.66,5778.01,5178.47,2051.08,910.34,2533.31,43792.86,-6060.17,-16.06,0.741,0.38,14,0.086,4.3,9549.09,28026.84,0.19,0.106,39.31203728088487,-89.53201643899139,continental
2025-08-14T22:09:32.468373,farm_0002,21954.8,7490.67,6094.15,2378.2,3063.16,1993.97,1336.38,797.94,23154.47,-1199.67,-5.46,1.415,0.115,3,0.268,4.15,7320.02,13771.47,0.06,0.627,39.31203728088487,-89.53201643899139,continental
2025-08-15T22:09:32.468373,farm_0002,21540.95,9797.49,5724.03,3769.62,2701.08,1101.15,967.64,1117.99,25179.0,-3638.05,-16.89,1.35,0.183,5,0.097,4.68,4005.48,21990.12,0.23,0.121,39.31203728088487,-89.53201643899139,continental
2025-08-16T22:09:32.468373,farm_0002,34323.7,13231.62,9390.61,6215.24,4599.62,2167.79,2651.53,2256.29,40512.7,-6189.01,-18.03,1.293,0.369,14,0.217,4.63,9513.99,21376.0,0.09,0.586,39.31203728088487,-89.53201643899139,continental
2025-08-17T22:09:32.468373,farm_0002,11052.34,5231.28,2399.6,1867.48,870.26,703.97,299.08,726.28,12097.95,-1045.62,-9.46,0.716,0.387,7,0.233,3.57,9563.13,43999.92,0.12,0.346,39.31203728088487,-89.53201643899139,continental
2025-08-18T22:09:32.468373,farm_0002,32390.65,15421.89,8752.23,4007.25,4013.95,1672.2,1890.06,3213.1,38970.68,-6580.03,-20.31,0.739,0.341,10,0.088,3.79,8358.49,26051.52,0.22,0.279,39.31203728088487,-89.53201643899139,continental
2025-08-19T22:09:32.468373,farm_0002,11739.85,5849.05,2498.72,1671.4,1337.7,1008.46,922.26,1117.35,14404.94,-2665.09,-22.7,1.48,0.112,13,0.25,4.91,3191.07,24221.63,0.09,0.118,39.31203728088487,-89.53201643899139,continental
2025-08-20T22:09:32.468373,farm_0002,36815.47,11902.48,9348.25,5827.72,5182.83,1843.56,1399.68,3415.7,38920.21,-2104.75,-5.72,0.508,0.309,12,0.299,4.49,5933.83,12386.87,0.19,0.295,39.31203728088487,-89.53201643899139,continental
2025-08-21T22:09:32.468373,farm_0002,48440.63,17162.34,10428.25,6907.24,4431.24,3545.09,1786.06,1599.31,45859.52,2581.1,5.33,0.593,0.382,14,0.263,4.55,8574.42,9272.3,0.21,0.515,39.31203728088487,-89.53201643899139,continental
2025-08-22T22:09:32.468373,farm_0002,3547.38,1520.86,720.44,427.07,212.98,309.85,88.95,195.06,3475.2,72.18,2.03,0.876,0.181,13,0.161,4.85,9043.64,34021.88,0.09,0.176,39.31203728088487,-89.53201643899139,continental
2025-08-23T22:09:32.468373,farm_0002,46286.02,22939.91,10115.06,8090.47,2493.52,3970.25,3307.66,2045.57,52962.44,-6676.42,-14.42,1.038,0.255,8,0.282,4.65,3364.62,46163.62,0.08,0.377,39.31203728088487,-89.53201643899139,continental
2025-08-24T22:09:32.468373,farm_0002,32454.08,14721.04,8617.05,5740.27,2595.47,2922.41,2436.96,3151.9,40185.12,-7731.04,-23.82,0.691,0.227,4,0.209,4.29,1293.31,35837.58,0.16,0.799,39.31203728088487,-89.53201643899139,continental
2025-08-25T22:09:32.468373,farm_0002,3192.33,1255.19,904.61,434.98,298.57,308.82,136.65,128.73,3467.55,-275.22,-8.62,0.543,0.158,4,0.253,4.95,1436.59,35805.8,0.12,0.721,39.31203728088487,-89.53201643899139,continental
2025-08-26T22:09:32.468373,farm_0002,22695.93,9758.48,5944.76,4060.34,1192.68,1420.45,1521.64,1234.64,25133.0,-2437.07,-10.74,1.173,0.332,10,0.294,4.15,8566.78,39647.23,0.08,0.538,39.31203728088487,-89.53201643899139,continental
2025-08-27T22:09:32.468373,farm_0002,16227.37,7421.02,3650.29,3061.02,1277.93,1087.37,650.38,854.67,18002.68,-1775.3,-10.94,1.418,0.262,10,0.066,3.01,2154.39,12559.79,0.21,0.504,39.31203728088487,-89.53201643899139,continental
2025-08-28T22:09:32.468373,farm_0002,47051.02,14397.21,13305.43,5865.84,5092.7,4447.94,2377.12,3684.46,49170.7,-2119.68,-4.51,0.676,0.366,11,0.22,3.84,3410.75,32281.66,0.08,0.146,39.31203728088487,-89.53201643899139,continental
2025-08-29T22:09:32.468373,farm_0002,20712.2,7193.43,4358.95,3691.84,1285.97,1245.96,545.79,888.78,19210.73,1501.47,7.25,1.32,0.115,13,0.118,4.47,4962.15,22507.77,0.2,0.45,39.31203728088487,-89.53201643899139,continental
2025-08-30T22:09:32.468373,farm_0002,26958.54,9225.65,7611.64,3116.72,2531.85,1793.83,1924.73,825.45,27029.88,-71.33,-0.26,0.822,0.156,13,0.14,3.67,8787.0,6756.52,0.16,0.496,39.31203728088487,-89.53201643899139,continental
2025-08-31T22:09:32.468373,farm_0002,14572.07,5377.55,3835.69,2475.66,1820.15,916.42,588.67,712.51,15726.65,-1154.58,-7.92,0.751,0.387,14,0.124,3.78,1199.25,6674.19,0.25,0.727,39.31203728088487,-89.53201643899139,continental
2025-09-01T22:09:32.468373,farm_0002,16579.24,6112.62,4241.23,2858.06,1303.05,1465.04,1225.54,586.22,17791.75,-1212.51,-7.31,0.8,0.165,3,0.259,4.78,2055.72,45214.2,0.17,0.38,39.31203728088487,-89.53201643899139,continental
2025-09-02T22:09:32.468373,farm_0002,39850.31,16063.01,8797.68,5108.59,5493.95,2867.77,2748.35,1210.29,42289.63,-2439.32,-6.12,0.644,0.153,13,0.273,4.73,8603.32,6114.55,0.22,0.404,39.31203728088487,-89.53201643899139,continental
2025-09-03T22:09:32.468373,farm_0002,25470.91,10958.56,6773.1,3561.63,2673.13,1731.49,1912.06,850.69,28460.66,-2989.75,-11.74,0.622,0.295,10,0.278,3.29,4971.55,6667.16,0.08,0.739,39.31203728088487,-89.53201643899139,continental
2025-09-04T22:09:32.468373,farm_0002,24655.19,9578.03,5817.41,4030.69,3505.85,2221.24,1260.29,1430.21,27843.71,-3188.53,-12.93,1.484,0.367,3,0.234,3.18,7766.38,15384.58,0.22,0.259,39.31203728088487,-89.53201643899139,continental
2025-08-06T22:09:32.468373,farm_0003,37803.47,17237.0,8245.89,6353.73,3947.97,2016.88,1013.87,2104.85,40920.2,-3116.73,-8.24,1.363,0.145,7,0.062,3.16,9227.79,11256.72,0.18,0.699,37.5985284373248,-119.19665496477037,mediterranean
2025-08-07T22:09:32.468373,farm_0003,30028.21,10465.35,7024.88,5797.69,1774.85,2796.71,1243.71,1126.36,30229.54,-201.33,-0.67,0.953,0.259,13,0.16,4.59,7112.9,21939.31,0.17,0.795,37.5985284373248,-119.19665496477037,mediterranean
2025-08-08T22:09:32.468373,farm_0003,17487.02,6840.99,4446.05,2204.94,2489.13,1210.7,544.43,834.46,18570.69,-1083.67,-6.2,0.625,0.172,6,0.249,4.14,4922.94,37816.73,0.22,0.23,37.5985284373248,-119.19665496477037,mediterranean
2025-08-09T22:09:32.468373,farm_0003,42787.22,19677.25,11238.21,7489.79,3725.12,3856.64,2466.62,1397.13,49850.77,-7063.55,-16.51,1.345,0.239,7,0.119,4.43,8888.09,47582.58,0.18,0.241,37.5985284373248,-119.19665496477037,mediterranean
2025-08-10T22:09:32.468373,farm_0003,40079.35,19361.94,9314.32,7895.16,5535.64,2724.11,2547.69,2274.8,49653.65,-9574.3,-23.89,1.105,0.331,8,0.105,3.84,3229.58,15859.91,0.07,0.194,37.5985284373248,-119.19665496477037,mediterranean
2025-08-11T22:09:32.468373,farm_0003,12912.33,5193.53,3230.79,2503.57,1750.71,910.21,428.19,823.74,14840.74,-1928.41,-14.93,0.917,0.359,7,0.281,3.92,2624.11,35029.53,0.19,0.654,37.5985284373248,-119.19665496477037,mediterranean
2025-08-12T22:09:32.468373,farm_0003,42750.75,13071.79,9421.22,7650.98,6057.12,3471.01,2150.32,1907.34,43729.78,-979.03,-2.29,1.289,0.252,14,0.276,4.35,3959.95,23865.34,0.05,0.587,37.5985284373248,-119.19665496477037,mediterranean
2025-08-13T22:09:32.468373,farm_0003,23649.15,10681.43,5020.02,2555.75,1246.04,1507.73,505.96,1047.1,22564.04,1085.12,4.59,1.217,0.278,12,0.098,4.05,7830.51,41609.05,0.17,0.459,37.5985284373248,-119.19665496477037,mediterranean
2025-08-14T22:09:32.468373,farm_0003,6123.97,2494.78,1492.32,681.4,328.71,593.07,280.21,217.11,6087.61,36.36,0.59,1.228,0.349,4,0.138,3.28,5318.77,22140.16,0.24,0.383,37.5985284373248,-119.19665496477037,mediterranean
2025-08-15T22:09:32.468373,farm_0003,49628.24,23464.0,14360.01,6820.54,6521.19,4728.87,3694.76,1503.25,61092.63,-11464.39,-23.1,1.256,0.274,14,0.164,3.79,5908.19,16035.56,0.19,0.302,37.5985284373248,-119.19665496477037,mediterranean
2025-08-16T22:09:32.468373,farm_0003,31453.12,10479.15,7949.79,5203.36,1998.4,2793.85,1971.06,1235.76,31631.37,-178.25,-0.57,1.453,0.194,8,0.282,4.86,3197.3,24220.62,0.08,0.259,37.5985284373248,-119.19665496477037,mediterranean
2025-08-17T22:09:32.468373,farm_0003,31832.0,12105.35,7011.47,6186.91,2939.14,1676.77,1368.33,2575.67,33863.63,-2031.63,-6.38,0.609,0.283,8,0.209,3.6,1021.32,36837.27,0.19,0.45,37.5985284373248,-119.19665496477037,mediterranean
2025-08-18T22:09:32.468373,farm_0003,27813.82,12288.46,6752.38,5274.88,3305.29,1564.49,1702.62,1072.95,31961.07,-4147.26,-14.91,1.446,0.109,14,0.064,3.04,1405.96,48047.35,0.17,0.766,37.5985284373248,-119.19665496477037,mediterranean
2025-08-19T22:09:32.468373,farm_0003,36382.5,14935.3,9654.1,4095.07,4573.04,3076.05,1130.45,3189.59,40653.6,-4271.1,-11.74,1.006,0.32,11,0.235,4.89,9976.64,30454.45,0.21,0.492,37.5985284373248,-119.19665496477037,mediterranean
2025-08-20T22:09:32.468373,farm_0003,2197.58,813.52,542.6,314.2,314.83,149.8,149.91,96.18,2381.04,-183.46,-8.35,1.188,0.137,5,0.233,3.02,8874.86,31559.35,0.12,0.36,37.5985284373248,-119.19665496477037,mediterranean
2025-08-21T22:09:32.468373,farm_0003,29893.86,13410.23,6105.45,4210.73,3247.46,2899.13,1138.25,2379.69,33390.94,-3497.08,-11.7,1.141,0.328,5,0.156,3.79,9582.78,22078.77,0.1,0.362,37.5985284373248,-119.19665496477037,mediterranean
2025-08-22T22:09:32.468373,farm_0003,11027.49,4050.37,2607.26,1915.16,1186.29,811.34,609.27,1095.83,12275.51,-1248.03,-11.32,1.426,0.252,9,0.126,3.13,3193.58,24762.45,0.1,0.628,37.5985284373248,-119.19665496477037,mediterranean
2025-08-23T22:09:32.468373,farm_0003,29009.6,9642.23,5938.56,5370.69,2385.36,2740.94,1453.68,2193.57,29725.04,-715.43,-2.47,1.43,0.254,8,0.294,3.72,3549.0,35287.78,0.09,0.504,37.5985284373248,-119.19665496477037,mediterranean
2025-08-24T22:09:32.468373,farm_0003,19484.21,6801.51,4886.72,3889.73,2644.19,986.54,1300.6,717.58,21226.88,-1742.66,-8.94,0.797,0.276,14,0.232,4.59,4430.28,24547.33,0.12,0.602,37.5985284373248,-119.19665496477037,mediterranean
2025-08-25T22:09:32.468373,farm_0003,38523.81,18148.0,9504.44,6166.66,2121.13,3072.33,2543.11,1407.79,42963.46,-4439.65,-11.52,1.17,0.36,8,0.15,3.01,5370.32,41743.85,0.22,0.246,37.5985284373248,-119.19665496477037,mediterranean
2025-08-26T22:09:32.468373,farm_0003,3706.54,1374.94,984.19,550.47,212.94,326.03,139.52,337.96,3926.05,-219.52,-5.92,0.573,0.194,11,0.088,3.36,8850.31,19091.43,0.06,0.473,37.5985284373248,-119.19665496477037,mediterranean
2025-08-27T22:09:32.468373,farm_0003,26135.2,9776.14,7420.68,4864.7,1448.27,1412.97,1690.86,1227.34,27840.95,-1705.75,-6.53,1.16,0.215,14,0.223,3.8,8597.81,43911.26,0.14,0.322,37.5985284373248,-119.19665496477037,mediterranean
2025-08-28T22:09:32.468373,farm_0003,49293.21,21581.95,14074.19,8292.11,3131.84,3628.09,2334.48,4553.79,57596.45,-8303.24,-16.84,1.112,0.125,11,0.06,3.5,6468.41,36316.82,0.07,0.551,37.5985284373248,-119.19665496477037,mediterranean
2025-08-29T22:09:32.468373,farm_0003,3782.03,1193.73,1045.17,602.53,279.68,317.54,161.86,290.54,3891.05,-109.02,-2.88,0.786,0.36,12,0.24,4.24,1864.7,49307.67,0.05,0.588,37.5985284373248,-119.19665496477037,mediterranean
2025-08-30T22:09:32.468373,farm_0003,1080.2,470.93,277.24,138.39,69.94,89.08,46.0,79.57,1171.15,-90.95,-8.42,1.258,0.185,3,0.206,4.02,1730.51,5029.78,0.22,0.5,37.5985284373248,-119.19665496477037,mediterranean
2025-08-31T22:09:32.468373,farm_0003,24320.06,10404.7,5605.2,4352.06,2475.52,1774.55,1190.78,2147.5,27950.31,-3630.25,-14.93,1.013,0.164,6,0.241,4.84,2507.82,18352.8,0.07,0.657,37.5985284373248,-119.19665496477037,mediterranean
2025-09-01T22:09:32.468373,farm_0003,23388.26,10231.83,4805.91,3114.81,3313.93,2061.98,1315.02,2147.35,26990.84,-3602.58,-15.4,1.156,0.295,6,0.081,3.54,7668.03,16242.84,0.09,0.137,37.5985284373248,-119.19665496477037,mediterranean
2025-09-02T22:09:32.468373,farm_0003,24390.06,7753.48,7053.47,4340.93,2914.87,1365.56,1889.52,1060.38,26378.21,-1988.15,-8.15,0.787,0.252,10,0.199,4.72,7353.14,48450.74,0.13,0.251,37.5985284373248,-119.19665496477037,mediterranean
2025-09-03T22:09:32.468373,farm_0003,33757.43,14411.87,10112.88,4134.08,2924.13,2022.31,943.33,2851.89,37400.48,-3643.05,-10.79,0.568,0.311,4,0.22,4.6,7486.25,32731.55,0.2,0.226,37.5985284373248,-119.19665496477037,mediterranean
2025-09-04T22:09:32.468373,farm_0003,42050.95,12733.66,12139.28,5600.06,4380.14,3220.38,2193.96,1338.45,41605.92,445.03,1.06,0.93,0.138,10,0.064,4.0,7917.94,20117.75,0.14,0.756,37.5985284373248,-119.19665496477037,mediterranean
2025-08-06T22:09:32.468373,farm_0004,42217.22,19534.87,9129.95,6443.27,4136.53,4189.5,2850.88,1950.05,48235.06,-6017.84,-14.25,0.598,0.355,4,0.106,3.34,8415.83,19017.34,0.25,0.251,44.04116898859161,-122.060180295676,oceanic
2025-08-07T22:09:32.468373,farm_0004,3288.87,1407.94,942.83,511.46,451.11,228.91,74.38,196.53,3813.15,-524.29,-15.94,1.321,0.381,7,0.178,3.22,9724.81,29876.27,0.14,0.67,44.04116898859161,-122.060180295676,oceanic
2025-08-08T22:09:32.468373,farm_0004,27571.02,13327.84,5579.26,4427.49,2696.98,2284.51,1522.04,2219.17,32057.3,-4486.28,-16.27,0.994,0.32,4,0.296,3.28,8821.02,26437.48,0.24,0.677,44.04116898859161,-122.060180295676,oceanic
2025-08-09T22:09:32.468373,farm_0004,5437.48,1957.73,1568.75,562.3,490.37,536.21,300.81,448.57,5864.75,-427.27,-7.86,0.561,0.351,8,0.236,3.74,8580.4,25373.24,0.1,0.336,44.04116898859161,-122.060180295676,oceanic
2025-08-10T22:09:32.468373,farm_0004,42897.59,14229.17,12857.08,5111.88,5959.05,2974.82,3082.4,4041.92,48256.33,-5358.74,-12.49,0.745,0.205,14,0.058,4.38,7802.47,41239.66,0.23,0.636,44.04116898859161,-122.060180295676,oceanic
2025-08-11T22:09:32.468373,farm_0004,36535.86,12622.68,8785.91,6792.01,4329.93,2590.15,1963.77,2950.29,40034.74,-3498.88,-9.58,0.762,0.163,7,0.167,4.24,8710.05,46990.68,0.05,0.644,44.04116898859161,-122.060180295676,oceanic
2025-08-12T22:09:32.468373,farm_0004,30733.62,12747.63,7796.13,4852.55,1560.58,2017.66,2116.05,1393.15,32483.76,-1750.13,-5.69,1.292,0.15,13,0.171,4.82,5546.24,37852.68,0.12,0.11,44.04116898859161,-122.060180295676,oceanic
2025-08-13T22:09:32.468373,farm_0004,12013.26,3739.07,3563.09,2156.3,1103.32,1045.76,472.57,1169.83,13249.94,-1236.68,-10.29,1.42,0.357,12,0.056,4.31,7064.72,13982.18,0.23,0.686,44.04116898859161,-122.060180295676,oceanic
2025-08-14T22:09:32.468373,farm_0004,28112.08,13391.36,5984.13,5272.63,3408.34,1446.71,1767.87,1694.33,32965.37,-4853.3,-17.26,0.751,0.349,3,0.058,4.48,2955.77,16836.3,0.1,0.753,44.04116898859161,-122.060180295676,oceanic
2025-08-15T22:09:32.468373,farm_0004,12697.99,4801.02,3207.41,1740.4,923.8,1224.01,833.42,1006.77,13736.83,-1038.84,-8.18,0.594,0.384,9,0.084,3.2,5121.38,47982.02,0.18,0.585,44.04116898859161,-122.060180295676,oceanic
2025-08-16T22:09:32.468373,farm_0004,42906.08,19649.91,11860.17,6182.89,5498.3,3349.04,2243.81,3609.45,52393.57,-9487.49,-22.11,0.504,0.157,12,0.231,3.46,7018.44,15304.13,0.12,0.637,44.04116898859161,-122.060180295676,oceanic
2025-08-17T22:09:32.468373,farm_0004,35667.78,16839.43,10601.2,5996.69,5195.82,2056.02,1144.0,3263.66,45096.82,-9429.04,-26.44,1.466,0.253,5,0.294,4.34,1947.3,20930.74,0.06,0.327,44.04116898859161,-122.060180295676,oceanic
